n,subjectCN_count,count
18490630276797260153367465115672618286183101080439229031059994121458647400477733695324864081535522737776725678906881516081131515693263340529695486509033433574355217490558091389894698381204042684021900941055200764665097711080555276023552885874918924502927969018286526304821427082076158296450907757698730157418201234274875614668309888542918198004111077831088468989349838572836505958496726574096624139024465409869307485559613473658405292142224003623389561714021831684281323713886447056254932130019586405593139360183778510024381774815408061270077691794974678691056899061005421444855730253510878963826025105614538665593513,453,453
21684932812432339646485683289655448296763540159596927263572843107755452821772205858541782411956564211973624337617207176622427042211013286642959366491304222944727866775172072982367814387353074518963001766468903543469337743825150329977113528125897698254486215006583088920422238693934709511770745506935307541283380282216423639407749721171137985135319637461835549367631299935702939510878201137001564437372006570938688782647412537759804896865989512853861860648627621268112490228810625334887949996480090147872368112925042345727211662765214683746309439757755278105132904504583883278031982199528718312111745903516814279083827,324,324
16248107237731140086171432087035946964115556798097841454248093626368964842517554605975528293473795614722125925690245653306712957276538904815789476889295396476885964281784879489499184032123311500856570936420524726328100500170472936262733639325269026486081941327693224633901748643306031016781727430894502959323880671977822498727936047493967350937515284556788303722758078325674898559721881960245508446076695533737895848358187571340221573274026445813758437997854266356704233569166185040038957694199985370302566052265159205876368345307042151778647080985068294509158336953183416791380037640960834159127018409308850793614221,309,309
27284150499537146789952154706414613413357791206566447558216284621154365654606034297537995798787694344276208315118499090143892852201847590261832124584117311753040985788293720291067974109361480483773066781301026230265533817190318772662123601110678261555412408799598179712457072620212337780267362802769198101214505649438400029520137924720910697231927871795614626391498753815895790610387457864525585989181494861564085620635696411354933505469805122117224377563530875104504735562992728296450650542891440557404253765099032766742033102924663555877150375475539806953295235306982437055529773648568652777574209183806470496895139,75,75
18707760347121943150116249891125201859036403023008143853550793296842643752153993493542468762401245989491399482566496677845018962204140898826898583855693902268833321183836113618241714063273293436817034578178841687839353261583958224047309187693662900062540995471919037671490156420065680307641440169474567973187823484285671210902184129097003031949937311897265063911856696198898692612388697304111124020667213646780422057204419974547022685772480755093417658014126728354795298676042279948453478354613858895933936212746952114998739543099196481808951268079465991203011247610995443739493378120184121493825296758081897425108769,30,30
904787127560155749644694053560957652201052773102996840829715650947874247238711343708902549003569753501901753677020632439615225761189641523623507047402134212595057275645602323677386978462806332917464410819997983091402819751883565303307883453725459033354912188984652212792649081234281755188370584096985555718050650644728858278183311086518371146338920181439107397523440784580220889475764259469752362808955237558904314544486357529741823892145355087615648280464970530457380218114744690090585633522725957207197828977592760616203211986865199455881897880519396180766610635934814678338705090161496387158475734025414083931729633665799807954338700310585504914918930873712805983291740470141854248112075069980124963901360075445002086054539638263966640295309036235785326309892253255448747709550386370995631525599244409144090079556878327111609986261479455574904389148045024257983482615888348402845414956733077256539744338261668583749850207170106600699846010915211666325654309847948644366859571907871725650416168881883920297272980444747879879176038917106357658082192072638131227492798402910342632980924120877868826138576603934717720292026725907835308442342108037250342845580066344990251970600082023762832565312919928555069314725253808205932935436431,24,24
698569176342122405225248810723461532412072466150908849100164862597891663574024320571748160004422820779294839849895237311782635261134868782007854271830130086519661949347850288781744568162885568426421272739370099261702411045788311533772160859127696664382642144728813041347480830000416563828824650406157958309669434791945942306769449043088256220988856327683545359948021509418179868056592373650321665906969937957973398496183091224045271369342279135318082756419331202853714608894046803941063183916626660075410753735585222091882858011033569268879972350345302195252521000278667390899868115423018059378415564247452431903560245167499897559437300190554368624111622953733325776052855764219863174657043926601850490290589931379465373617016438755280948063466104931385551570790474303991461638207447991213449279000537831036128831506703459582039947308626539394353843183395053879665550690370794557952472861944420929336970495631120569166105017210705480017836458731069709967748775964425293498840777131122466708403594846742329290894260484873037220552989943169340026454646012538138276345833269039672045967079327909064285332773789864393037897949799313148375045217032349404199220283577980855182523520893053413115221019645679495674057207977987606738036333603,5,5
708527770816710962461369281921624347663866990539232810263877021776994916802763526532792249064451688554819348919194355121727833041277059908878924286388109511627798654165981480234088870994507199084392826674641639665020458357402825000740361316925987874432450738532678764942933529078807008776240706140198340537261542294093875059968881841486392246132788152843579149836305136543152303221964192259582445901981437216925290031878313490937004642685331141878801970823387411405540368261899860554971787111093201068433209046426355401303437713649386913278003905446119474792860670226348980253236596343016628627241737701378161485878762742457484499011301513093855862237669714355475656386758532613677406567970714540371153501447419446226602705208452229077435663640168614031455177061220334754579310712086776090628193534440183669044959767382177941512969880643844006666982814346904778720938059485833161380600569885406427577437292001324756190678884730680768468043935054773615479450432449947659819334616732761248802392334707123298697409020081242195516967924344025414661386887944671392557938826531732432140894020174523526402120087386875390396612223465177349123401208069116546556001394556492565452002055305579356456611387679421396435798350880110847735335025741,5,5
28362660426306853748200719179866884770723599649960053568190423599602460288595757566575682149008520344301780417183731996370985965629634892821728394698621666155654224444675882796072564004352082220774112757806087174668523750528742615948781443592774399380540011080303890823331212853009649296159921502166568040609195908127893777107391891399963168615018884637116813857071090507291752747059646940177547680319782224200010738681694093885397680810889396625647799187858692606798482012174334145351691725832428036319839759097185147345653299461303004312392255857966701929475408752818655794292592938062324544044254375861879888482617,4,4
800754243162199692263611762041763745506447607396124417671485395150723645221916366020954214754758732724521003095302423133867704500580044603451743246992879672163929785406995442980105352992709580905262578917092585098169477116388003578225140892398299631824407613115405895314677845682410265383467284714034542301317525915697926441185064010784514167468591630522022772536889693340104131890433102203494184718179352053326029566825132293595655780473723691700942226833628875643156838561444519135812413368689297134606489874889051119575466318073313323883465846371792225671991175133344940322481380285117929487736392507991489430561172868553898442476042793866642361108793431507481579769474417216887565912207667888734879984598242383015703063713033951496004126796130030379881899949984182068709175927739778251756137493262878405664818047042635747844348880931700729349162829340771917166089910168908543475899854539989450149378493278776858275112113847965048501682007889254680101031089526063024077766870408053366834524454328607343696242628081765296662077824739623749090996900067151604392343365056516294806749110479701895831849533061950992194575217504865234808137704714144822141202702296284223404261173383490538865207212933981189960851988711113591790088866209,4,4
